+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|nios2|cpu                                                                                                                                                               ; 151   ; 1              ; 29           ; 1              ; 130    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|nios2                                                                                                                                                                   ; 151   ; 0              ; 0            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|wr_ptr                                                                                          ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|usedw_counter                                                                                   ; 5     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|rd_ptr_msb                                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|three_comparison                                                                                ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|almost_full_comparer                                                                            ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo|FIFOram                                                                                         ; 74    ; 0              ; 0            ; 0              ; 56     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated|dpfifo                                                                                                 ; 61    ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback|scfifo_component|auto_generated                                                                                                        ; 60    ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifoback                                                                                                                                        ; 60    ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|wr_ptr                                                                                         ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|usedw_counter                                                                                  ; 5     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|rd_ptr_msb                                                                                     ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|three_comparison                                                                               ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|almost_full_comparer                                                                           ; 14    ; 7              ; 0            ; 7              ; 1      ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo|FIFOram                                                                                        ; 74    ; 0              ; 0            ; 0              ; 56     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated|dpfifo                                                                                                ; 61    ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront|scfifo_component|auto_generated                                                                                                       ; 60    ; 0              ; 0            ; 0              ; 58     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF|fifofront                                                                                                                                       ; 60    ; 1              ; 0            ; 1              ; 58     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|writeIF                                                                                                                                                 ; 61    ; 21             ; 0            ; 21             ; 66     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr3                                                                                       ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr1|cmpr6                                                                                 ; 8     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr1                                                                                       ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|altsyncram2                                                                                 ; 34    ; 1              ; 0            ; 1              ; 22     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated                                                                                             ; 25    ; 0              ; 0            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par|\IF0:ram                                                                                                                                    ; 25    ; 22             ; 0            ; 22             ; 44     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|backend_par                                                                                                                                             ; 25    ; 3              ; 0            ; 3              ; 22     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|vec_sub|z_sub|auto_generated                                                                                                                       ; 20    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|vec_sub|y_sub|auto_generated                                                                                                                       ; 20    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|vec_sub|x_sub|auto_generated                                                                                                                       ; 20    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|vec_sub                                                                                                                                            ; 52    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[0]|auto_generated                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[1]|auto_generated                                                                                                          ; 8     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[2]|auto_generated                                                                                                          ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[3]|auto_generated                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[4]|auto_generated                                                                                                          ; 14    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[5]|auto_generated                                                                                                          ; 16    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[6]|auto_generated                                                                                                          ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[7]|auto_generated                                                                                                          ; 20    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[8]|auto_generated                                                                                                          ; 22    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[9]|auto_generated                                                                                                          ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[10]|auto_generated                                                                                                         ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[11]|auto_generated                                                                                                         ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[12]|auto_generated                                                                                                         ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[13]|auto_generated                                                                                                         ; 32    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[14]|auto_generated                                                                                                         ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[15]|auto_generated                                                                                                         ; 36    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[16]|auto_generated                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[17]|auto_generated                                                                                                         ; 40    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[18]|auto_generated                                                                                                         ; 42    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[19]|auto_generated                                                                                                         ; 44    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[20]|auto_generated                                                                                                         ; 46    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[21]|auto_generated                                                                                                         ; 48    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[22]|auto_generated                                                                                                         ; 50    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z|sqrt|subtractors[23]|auto_generated                                                                                                         ; 52    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_z                                                                                                                                             ; 35    ; 16             ; 1            ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[0]|auto_generated                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[1]|auto_generated                                                                                                          ; 8     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[2]|auto_generated                                                                                                          ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[3]|auto_generated                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[4]|auto_generated                                                                                                          ; 14    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[5]|auto_generated                                                                                                          ; 16    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[6]|auto_generated                                                                                                          ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[7]|auto_generated                                                                                                          ; 20    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[8]|auto_generated                                                                                                          ; 22    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[9]|auto_generated                                                                                                          ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[10]|auto_generated                                                                                                         ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[11]|auto_generated                                                                                                         ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[12]|auto_generated                                                                                                         ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[13]|auto_generated                                                                                                         ; 32    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[14]|auto_generated                                                                                                         ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[15]|auto_generated                                                                                                         ; 36    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[16]|auto_generated                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[17]|auto_generated                                                                                                         ; 40    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[18]|auto_generated                                                                                                         ; 42    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[19]|auto_generated                                                                                                         ; 44    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[20]|auto_generated                                                                                                         ; 46    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[21]|auto_generated                                                                                                         ; 48    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[22]|auto_generated                                                                                                         ; 50    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y|sqrt|subtractors[23]|auto_generated                                                                                                         ; 52    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_y                                                                                                                                             ; 35    ; 16             ; 1            ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[0]|auto_generated                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[1]|auto_generated                                                                                                          ; 8     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[2]|auto_generated                                                                                                          ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[3]|auto_generated                                                                                                          ; 12    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[4]|auto_generated                                                                                                          ; 14    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[5]|auto_generated                                                                                                          ; 16    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[6]|auto_generated                                                                                                          ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[7]|auto_generated                                                                                                          ; 20    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[8]|auto_generated                                                                                                          ; 22    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[9]|auto_generated                                                                                                          ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[10]|auto_generated                                                                                                         ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[11]|auto_generated                                                                                                         ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[12]|auto_generated                                                                                                         ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[13]|auto_generated                                                                                                         ; 32    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[14]|auto_generated                                                                                                         ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[15]|auto_generated                                                                                                         ; 36    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[16]|auto_generated                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[17]|auto_generated                                                                                                         ; 40    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[18]|auto_generated                                                                                                         ; 42    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[19]|auto_generated                                                                                                         ; 44    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[20]|auto_generated                                                                                                         ; 46    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[21]|auto_generated                                                                                                         ; 48    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[22]|auto_generated                                                                                                         ; 50    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x|sqrt|subtractors[23]|auto_generated                                                                                                         ; 52    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back|sqrt_x                                                                                                                                             ; 35    ; 16             ; 1            ; 16             ; 32     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|back                                                                                                                                                    ; 326   ; 197            ; 23           ; 197            ; 25     ; 197             ; 197           ; 197             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr3                                                                         ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr1|cmpr6                                                                   ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr1                                                                         ; 2     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|altsyncram2                                                                   ; 332   ; 1              ; 0            ; 1              ; 318    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated                                                                               ; 321   ; 0              ; 0            ; 0              ; 636    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay|\IF0:ram                                                                                                                      ; 321   ; 318            ; 0            ; 318            ; 636    ; 318             ; 318           ; 318             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96|delay                                                                                                                               ; 321   ; 0              ; 0            ; 0              ; 318    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|reflectDelay_c71t96                                                                                                                                     ; 321   ; 1              ; 0            ; 1              ; 318    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_raytracing_0|position_delay_c1t70|\IF0:ram|ALTSHIFT_TAPS_component|auto_generated|cntr3                                                                              ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
